;Unnamed: 0;filename;relative_path;CPU_opencv_Dlib;CPU_opencv_Facenet512;CPU_opencv_Facenet;CPU_opencv_ArcFace;CPU_opencv_OpenFace;CPU_opencv_DeepID;CPU_opencv_DeepFace;CPU_opencv_GhostFaceNet;CPU_opencv_sFace;CPU_ssd_Dlib;CPU_ssd_Facenet512;CPU_ssd_Facenet;CPU_ssd_ArcFace;CPU_ssd_OpenFace;CPU_ssd_DeepID;CPU_ssd_DeepFace;CPU_ssd_GhostFaceNet;CPU_ssd_sFace;CPU_dlib_Dlib;CPU_dlib_Facenet512;CPU_dlib_Facenet;CPU_dlib_ArcFace;CPU_dlib_OpenFace;CPU_dlib_DeepID;CPU_dlib_DeepFace;CPU_dlib_GhostFaceNet;CPU_dlib_sFace;CPU_mtcnn_Dlib;CPU_mtcnn_Facenet512;CPU_mtcnn_Facenet;CPU_mtcnn_ArcFace;CPU_mtcnn_OpenFace;CPU_mtcnn_DeepID;CPU_mtcnn_DeepFace;CPU_mtcnn_GhostFaceNet;CPU_mtcnn_sFace;CPU_retinaface_Dlib;CPU_retinaface_Facenet512;CPU_retinaface_Facenet;CPU_retinaface_ArcFace;CPU_retinaface_OpenFace;CPU_retinaface_DeepID;CPU_retinaface_DeepFace;CPU_retinaface_GhostFaceNet;CPU_retinaface_sFace;CPU_yolov8_Dlib;CPU_yolov8_Facenet512;CPU_yolov8_Facenet;CPU_yolov8_ArcFace;CPU_yolov8_OpenFace;CPU_yolov8_DeepID;CPU_yolov8_DeepFace;CPU_yolov8_GhostFaceNet;CPU_yolov8_sFace;CPU_yunet_Dlib;CPU_yunet_Facenet512;CPU_yunet_Facenet;CPU_yunet_ArcFace;CPU_yunet_OpenFace;CPU_yunet_DeepID;CPU_yunet_DeepFace;CPU_yunet_GhostFaceNet;CPU_yunet_sFace;CPU_fastmtcnn_Dlib;CPU_fastmtcnn_Facenet512;CPU_fastmtcnn_Facenet;CPU_fastmtcnn_ArcFace;CPU_fastmtcnn_OpenFace;CPU_fastmtcnn_DeepID;CPU_fastmtcnn_DeepFace;CPU_fastmtcnn_GhostFaceNet;CPU_fastmtcnn_sFace;image_size;image_width;image_height
10;10;011_7344ca35.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/011_7344ca35.jpg;;0.3985025340007269;0.3472527240010095;0.3317513570000301;0.2700296280017937;0.157430616003694;;0.4414266520034289;;;0.3149218849939643;0.3156861640018178;0.3111992230042233;0.1538241560047026;0.141737045996706;;0.2965434259967878;;;;;;;;;;;;1.50477362699894;2.106779061999987;1.5277824990043882;1.4970369310030949;1.694892384999548;;1.708621416000824;;;13.10430700199504;11.770339937000244;11.319458294005017;11.305593646997297;11.361297378003655;;11.77992583100422;;;;;;;;;;;;0.1712449249971541;0.1747817680006846;0.178018284997961;0.1027027820018702;0.0548184790022787;;0.1828186690036091;;;;;;;;;;;32706.0;474.0;527.0
11;11;012_cfcd4007.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/012_cfcd4007.jpg;;0.3957325800001854;0.3312824559980072;0.2991942660009954;0.2196372149992385;0.146064409003884;;0.3874380060005933;;;0.319537939998554;0.2989444429986179;0.2465543239959515;0.1786996659939177;0.1069120329993893;;0.3338177029945655;;;;;;;;;;;;1.4780538939958203;2.221126403994276;1.4693864050059346;1.4105079139990266;1.6679420750006102;;1.5970446850042208;;;12.731034630000067;12.612805334996663;14.019162229000358;12.687301637997734;13.760749542001577;;12.589318075995834;;;;;;;;;;;;0.1709026460011955;0.1865709410049021;0.1802845189959043;0.1186885790011729;0.0670192539982963;;0.1827369620004901;;;;;;;;;;;26816.0;474.0;584.0
12;12;013_95ecbd39.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/013_95ecbd39.jpg;;0.4288041079998947;0.3261911009976757;0.3113046190046589;0.1911726780017488;0.129600931002642;;0.3492131519960821;;;0.3132023330035736;0.3039929500009748;0.3249690890006604;0.1446987080053077;0.1040707070060307;;0.358018216000346;;;;;;;;;;;;1.6109566419982002;1.675193721006508;1.8746114919995307;1.3895327160062152;1.555788591002056;;1.7634013880015118;;;10.752170692998334;10.689055360002383;10.257171466000727;10.225671207001142;10.42519517299661;;10.41620973800309;;;;;;;;;;;;0.1761463789953268;0.2031267889979062;0.1694268770006601;0.1066462180024245;0.0671699790036655;;0.1950069640006404;;;;;;;;;;;19451.0;474.0;474.0
13;13;014_0d29db88.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/014_0d29db88.jpg;;0.6319522299963864;0.5344891059939982;0.5294420909995097;0.3149316169947269;0.1460884870029986;;0.5964870200041332;;;0.3180871369986562;0.3249006719997851;0.2601979409955675;0.1532490229947143;0.0907544340007007;;0.3219580660006613;;;;;;;;;;;;1.8341793829968085;1.9407260160005533;1.7931481559935492;1.535337838999112;1.6655545070025255;;2.1486565490049543;;;13.481066537002334;12.154602870003146;11.989900498003408;11.863733017002232;11.64053590099502;;12.12799536500097;;;;;;;;;;;;0.2050832969980547;0.218439069998567;0.2006698510012938;0.1075401490015792;0.0659317720055696;;0.1878168159964843;;;;;;;;;;;27215.0;474.0;550.0
14;14;015_8bac79b5.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/015_8bac79b5.jpg;;0.4166311410008347;0.3746598590005305;0.3505269949964713;0.2105043629999272;0.1543131779981195;;0.355716518999543;;;0.3174164360025315;0.321650738005701;0.3445922240061918;0.1668309369997587;0.1035222350037656;;0.2993992369956686;;;;;;;;;;;;1.6568289380011263;2.188560039998265;1.4379668870024034;1.5447831799974665;1.879964984000253;;1.5655458069959425;;;12.890208303004329;12.90938186999847;12.50298521899822;12.66118751600152;12.442085358998156;;12.802236006995372;;;;;;;;;;;;0.1882969349971972;0.2476430759998038;0.1967966340016573;0.097907433999353;0.0662044900018372;;0.1771899939994909;;;;;;;;;;;47791.0;474.0;581.0
15;15;016_8945d6ca.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/016_8945d6ca.jpg;;0.4579300780023914;0.3259122259987634;0.3300690249961917;0.2062474179983837;0.1545698959962465;;0.3578593999991426;;;0.3515693070003181;0.3115076350004528;0.296709930000361;0.1742990389975602;0.1193973600020399;;0.3176078859978588;;;;;;;;;;;;1.848653380999167;2.350408300000709;1.3991375960031291;1.4808147340008873;1.8385037790067145;;1.9829860989993904;;;13.12247839900374;13.100136227003532;12.7308435369996;12.632260091995704;14.157794676000776;;12.940938726998866;;;;;;;;;;;;0.2067900520050898;0.1991019319975748;0.1755139950037119;0.0892054130017641;0.0584582470037275;;0.196199270998477;;;;;;;;;;;41377.0;474.0;591.0
16;16;017_e28ea9d4.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/017_e28ea9d4.jpg;;0.4761160229973029;0.3968268640019232;0.3161469379992923;0.2231382120007765;0.1521444620011607;;0.3599962919979589;;;0.3193755600004806;0.2998659100048826;0.3274317420000443;0.1569428470029379;0.1063976789955631;;0.3141023319985834;;;;;;;;;;;;2.0511070520005887;1.9722437969976452;1.5537123329995666;1.428273913996236;2.016504867002368;;1.9932177999944545;;;12.490627200000745;13.212311251001664;12.432130197994413;12.338099954999052;12.097137301992916;;12.290708369997446;;;;;;;;;;;;0.1842470659976243;0.1952717259991914;0.1955396699995617;0.1172076359944185;0.0745402470056433;;0.1911425379948923;;;;;;;;;;;34209.0;474.0;568.0
17;17;018_fcafe1a8.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/018_fcafe1a8.jpg;;0.3483664619998308;0.3692043209957774;0.3281148850001045;0.196749937000277;0.1186570770005346;;0.3235099640005501;;;0.3110938030004035;0.3050700489984592;0.2598388979968149;0.1676143580043572;0.0860159079966251;;0.2810325440004817;;;;;;;;;;;;1.5953190170039306;2.0870051809979486;2.0673125050016097;1.503557443000318;1.626973160993657;;1.5670355859983829;;;10.717520906000573;11.439542421001534;10.308800820996112;10.173737755998443;10.342559295000685;;10.489930008996453;;;;;;;;;;;;0.2045843779997085;0.2053428119979798;0.1740885710023576;0.0973207779970835;0.0657449079953949;;0.1794179519929457;;;;;;;;;;;22688.0;474.0;474.0
18;18;019_57ab290d.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/019_57ab290d.jpg;;0.3659950649962411;0.4010263019954436;0.3135485340026207;0.1983371440001065;0.1276723460032371;;0.3688983969987021;;;0.3345212709973566;0.3047292749979533;0.2488946909943479;0.1490754830010701;0.084072293000645;;0.2866121379993274;;;;;;;;;;;;1.7814452000020538;2.603367388001061;1.488145140996494;1.5455943389970344;1.4829177479987266;;1.6050200359968585;;;13.756660703002126;12.38585976500326;12.295027207001112;13.169121327999164;12.009746758005347;;12.373820304994297;;;;;;;;;;;;0.207897355001478;0.2073521880010957;0.2106719610019354;0.1196463460000814;0.0596243390027666;;0.1877210539969382;;;;;;;;;;;39011.0;474.0;569.0
19;19;020_4c4b655f.jpg;imagens/Celebrity Faces Dataset/Angelina Jolie/020_4c4b655f.jpg;;0.3991923220019089;0.3758499169998686;0.3445222680020379;0.2331477629995788;0.1651757170038763;;0.362948875001166;;;0.3406282309952075;0.2870020420014043;0.2910501030055457;0.1524969829988549;0.0955886510055279;;0.2797735639978782;;;;;;;;;;;;2.1024226880035712;1.6415011229983063;1.7338188979992992;1.4683431919984289;1.9980027089986836;;1.5464309449962457;;;12.697851359000197;12.563154225004835;13.04241281299619;12.211635715997543;12.23810573299852;;12.165243868999823;;;;;;;;;;;;0.2213106999988667;0.1932602749948273;0.1864560440008063;0.090940349997254;0.0718302340028458;;0.1837343360020895;;;;;;;;;;;45234.0;474.0;568.0
